"id","ts","min","max","avg","p50","p95","p99","sum","cnt"
5,"2018-04-11 18:00:00",1,1339,7,2,26,50,22860,3119
58,"2018-04-14 17:00:00",1,87,1,1,3,9,2109,1475
41,"2018-04-14 00:00:00",1,19,1,1,4,4,480,268
8,"2018-04-11 21:00:00",1,459,3,2,8,16,4744,1303
4,"2018-04-11 17:00:00",1,431,4,3,14,33,16126,3427
46,"2018-04-14 05:00:00",1,80,1,1,6,8,1265,685
62,"2018-04-14 21:00:00",1,36,2,2,6,8,1479,585
23,"2018-04-13 06:00:00",1,15,3,1,12,13,108,34
48,"2018-04-14 07:00:00",1,790,3,1,8,20,3657,1025
36,"2018-04-13 19:00:00",1,360,1,1,5,13,1998,1079
2,"2018-04-11 15:00:00",1,341,5,4,14,20,11847,2200
6,"2018-04-11 19:00:00",1,1265,5,3,16,78,19928,3593
1,"2018-04-11 14:00:00",1,237,6,5,18,33,11559,1751
19,"2018-04-12 08:00:00",1,629,7,6,31,34,17388,2397
11,"2018-04-12 00:00:00",1,35,7,9,14,15,13746,1759
16,"2018-04-12 05:00:00",1,221,4,1,13,24,19277,4052
7,"2018-04-11 20:00:00",1,243,2,1,8,14,5848,2102
26,"2018-04-13 09:00:00",1,384,3,1,13,17,4908,1492
9,"2018-04-11 22:00:00",1,52,5,6,15,18,12869,2162
13,"2018-04-12 02:00:00",1,30,8,10,13,13,14209,1717
27,"2018-04-13 10:00:00",1,2891,11,1,60,122,23649,1999
44,"2018-04-14 03:00:00",1,46,2,2,4,4,662,321
3,"2018-04-11 16:00:00",1,2453,8,3,42,93,24554,2735
47,"2018-04-14 06:00:00",1,38,1,1,2,5,1059,808
51,"2018-04-14 10:00:00",1,398,5,1,13,15,2918,575
22,"2018-04-12 11:00:00",1,2136,11,7,15,59,13810,1211
20,"2018-04-12 09:00:00",1,317,7,6,16,30,15499,2169
30,"2018-04-13 13:00:00",1,3498,22,1,52,97,38318,1710
35,"2018-04-13 18:00:00",1,40,1,1,3,6,1983,1292
50,"2018-04-14 09:00:00",1,26,1,1,4,5,1381,1058
59,"2018-04-14 18:00:00",1,1195,3,1,4,47,4623,1458
17,"2018-04-12 06:00:00",1,1502,4,2,13,35,21464,4510
24,"2018-04-13 07:00:00",1,1761,7,1,21,65,11793,1588
10,"2018-04-11 23:00:00",1,2962,10,10,15,64,17366,1714
14,"2018-04-12 03:00:00",1,20,8,10,14,15,15439,1892
21,"2018-04-12 10:00:00",1,1453,9,7,26,66,15869,1695
25,"2018-04-13 08:00:00",1,871,4,1,25,37,7184,1793
12,"2018-04-12 01:00:00",1,28,7,9,13,14,16262,2107
15,"2018-04-12 04:00:00",1,318,6,7,19,23,18478,2728
60,"2018-04-14 19:00:00",1,72,1,1,4,8,2407,1539
61,"2018-04-14 20:00:00",1,29,1,1,3,6,1817,1251
65,"2018-04-15 00:00:00",1,32,2,2,6,7,491,196
29,"2018-04-13 12:00:00",1,640,2,1,4,18,2106,889
18,"2018-04-12 07:00:00",1,1750,7,6,14,57,23308,2985
53,"2018-04-14 12:00:00",1,48,1,1,5,7,1593,986
54,"2018-04-14 13:00:00",1,304,2,1,4,11,1587,753
31,"2018-04-13 14:00:00",1,35,2,1,8,10,2332,865
77,"2018-04-15 12:00:00",1,1297,5,1,18,50,6846,1266
33,"2018-04-13 16:00:00",1,1599,5,1,31,53,5801,1118
49,"2018-04-14 08:00:00",1,43,1,2,5,9,1584,961
80,"2018-04-15 15:00:00",1,1337,2,1,16,28,4297,1571
32,"2018-04-13 15:00:00",1,96,1,1,7,10,1702,959
34,"2018-04-13 17:00:00",1,993,2,1,3,22,2862,1193
39,"2018-04-13 22:00:00",1,14,1,1,3,4,758,494
28,"2018-04-13 11:00:00",1,502,2,1,6,17,3334,1409
38,"2018-04-13 21:00:00",1,54,2,1,4,7,1343,630
37,"2018-04-13 20:00:00",1,680,2,1,4,18,2370,1038
57,"2018-04-14 16:00:00",1,462,1,1,3,14,1920,1034
42,"2018-04-14 01:00:00",1,27,2,2,4,5,746,360
74,"2018-04-15 09:00:00",1,2646,8,1,29,93,15558,1936
40,"2018-04-13 23:00:00",1,16,1,1,4,4,542,314
71,"2018-04-15 06:00:00",1,47,1,1,3,6,1144,757
43,"2018-04-14 02:00:00",1,66,3,2,7,7,908,265
45,"2018-04-14 04:00:00",1,167,3,2,9,9,1133,287
64,"2018-04-14 23:00:00",1,226,5,2,5,6,3695,642
63,"2018-04-14 22:00:00",1,22,1,2,5,5,748,403
52,"2018-04-14 11:00:00",1,441,2,1,11,13,1420,707
70,"2018-04-15 05:00:00",1,65,3,2,11,12,1458,439
55,"2018-04-14 14:00:00",1,1689,9,1,28,35,8115,893
56,"2018-04-14 15:00:00",1,32,2,1,6,9,1481,717
69,"2018-04-15 04:00:00",1,165,3,2,10,10,637,181
68,"2018-04-15 03:00:00",1,15,2,3,6,6,659,243
67,"2018-04-15 02:00:00",1,19,2,2,5,6,391,150
66,"2018-04-15 01:00:00",1,17,2,3,5,5,474,198
72,"2018-04-15 07:00:00",1,410,2,1,4,7,2797,1340
78,"2018-04-15 13:00:00",1,1211,3,1,4,23,5810,1487
73,"2018-04-15 08:00:00",1,54,1,1,5,7,1526,900
76,"2018-04-15 11:00:00",1,283,1,1,2,12,3296,2277
82,"2018-04-15 17:00:00",1,1098,5,1,34,38,10904,2176
75,"2018-04-15 10:00:00",1,1049,1,1,2,25,5319,2901
79,"2018-04-15 14:00:00",1,20,1,1,3,5,1623,1225
81,"2018-04-15 16:00:00",1,683,1,1,3,19,2990,1576
83,"2018-04-15 18:00:00",1,1454,4,1,19,55,8935,2052
84,"2018-04-15 19:00:00",1,1389,2,1,1,22,5084,1788
87,"2018-04-15 22:00:00",1,42,2,1,5,6,1597,792
85,"2018-04-15 20:00:00",1,1065,1,1,2,7,3362,1737
86,"2018-04-15 21:00:00",1,44,1,1,3,6,1446,1024
88,"2018-04-15 23:00:00",1,73,1,1,3,6,1765,1202
90,"2018-04-16 01:00:00",1,27,1,1,3,4,1359,826
89,"2018-04-16 00:00:00",1,20,1,1,3,5,1292,929
91,"2018-04-16 02:00:00",1,43,1,1,4,6,1049,597
114,"2018-04-17 01:00:00",1,42,1,1,3,4,988,718
137,"2018-04-18 00:00:00",1,47,1,1,4,7,1725,938
99,"2018-04-16 10:00:00",1,1925,4,1,2,66,4476,1098
144,"2018-04-18 07:00:00",1,547,3,1,12,25,3764,1085
101,"2018-04-16 12:00:00",1,268,1,1,6,11,1913,966
151,"2018-04-18 14:00:00",1,1061,6,1,12,40,5390,896
106,"2018-04-16 17:00:00",1,1193,6,1,29,42,13688,1999
117,"2018-04-17 04:00:00",1,246,2,1,11,15,2188,979
105,"2018-04-16 16:00:00",1,56,3,2,12,18,6086,1770
108,"2018-04-16 19:00:00",1,810,2,1,3,18,5302,2540
146,"2018-04-18 09:00:00",1,52,2,1,11,16,3492,1207
107,"2018-04-16 18:00:00",1,172,1,1,3,8,3631,2348
152,"2018-04-18 15:00:00",1,587,4,2,13,30,7509,1735
113,"2018-04-17 00:00:00",1,33,1,1,3,4,1013,778
149,"2018-04-18 12:00:00",1,1247,5,1,23,68,12654,2169
125,"2018-04-17 12:00:00",1,46,1,1,2,10,2239,1402
94,"2018-04-16 05:00:00",1,160,2,1,6,11,3268,1621
115,"2018-04-17 02:00:00",1,30,1,1,4,6,1345,748
95,"2018-04-16 06:00:00",1,3430,5,1,2,99,8778,1504
133,"2018-04-17 20:00:00",1,1588,3,1,14,36,4394,1335
93,"2018-04-16 04:00:00",1,1012,2,1,4,28,3119,1190
126,"2018-04-17 13:00:00",1,2773,4,1,49,61,4943,1169
112,"2018-04-16 23:00:00",1,36,1,1,4,6,1311,806
96,"2018-04-16 07:00:00",1,591,1,1,2,16,3092,1980
111,"2018-04-16 22:00:00",1,29,1,1,3,5,1204,826
104,"2018-04-16 15:00:00",1,2525,5,1,5,74,9646,1834
92,"2018-04-16 03:00:00",1,46,1,1,4,6,1463,951
97,"2018-04-16 08:00:00",1,2267,13,1,52,63,17012,1233
110,"2018-04-16 21:00:00",1,32,1,1,3,6,1594,1065
127,"2018-04-17 14:00:00",1,468,1,1,2,13,1963,1109
135,"2018-04-17 22:00:00",1,19,1,1,3,5,1352,1025
118,"2018-04-17 05:00:00",1,52,1,1,2,7,2335,1855
131,"2018-04-17 18:00:00",1,323,1,1,2,10,2561,1833
119,"2018-04-17 06:00:00",1,34,1,1,2,4,2176,1813
124,"2018-04-17 11:00:00",1,678,2,1,4,18,2466,1218
109,"2018-04-16 20:00:00",1,40,1,1,5,8,2522,1275
100,"2018-04-16 11:00:00",1,1027,2,1,3,30,3937,1806
103,"2018-04-16 14:00:00",1,38,1,1,4,6,1647,1216
98,"2018-04-16 09:00:00",1,76,1,1,3,9,1885,1198
164,"2018-04-19 03:00:00",1,17,1,1,2,3,1128,906
120,"2018-04-17 07:00:00",1,35,1,1,3,7,1549,1037
116,"2018-04-17 03:00:00",1,64,1,1,4,7,1342,749
134,"2018-04-17 21:00:00",1,57,2,1,5,7,3393,1227
102,"2018-04-16 13:00:00",1,1058,2,1,4,35,3553,1220
147,"2018-04-18 10:00:00",1,255,3,1,11,21,4197,1249
150,"2018-04-18 13:00:00",1,1531,7,2,37,69,8936,1213
122,"2018-04-17 09:00:00",1,63,1,1,4,7,1966,1125
153,"2018-04-18 16:00:00",1,37,3,2,11,15,3352,1092
