"id","ts","cnt","l1","l2","l3","l4","apmi"
37,"2018-04-13 20:00:00",1038,1038,0,0,0,100
23,"2018-04-13 06:00:00",34,34,0,0,0,100
16,"2018-04-12 05:00:00",4052,4052,0,0,0,100
5,"2018-04-11 18:00:00",3119,3119,0,0,0,100
41,"2018-04-14 00:00:00",268,268,0,0,0,100
10,"2018-04-11 23:00:00",1714,1713,1,0,0,99.9854
2,"2018-04-11 15:00:00",2200,2200,0,0,0,100
65,"2018-04-15 00:00:00",196,196,0,0,0,100
12,"2018-04-12 01:00:00",2107,2107,0,0,0,100
59,"2018-04-14 18:00:00",1458,1458,0,0,0,100
89,"2018-04-16 00:00:00",929,929,0,0,0,100
24,"2018-04-13 07:00:00",1588,1588,0,0,0,100
11,"2018-04-12 00:00:00",1759,1759,0,0,0,100
6,"2018-04-11 19:00:00",3593,3593,0,0,0,100
17,"2018-04-12 06:00:00",4510,4510,0,0,0,100
3,"2018-04-11 16:00:00",2735,2733,2,0,0,99.9817
88,"2018-04-15 23:00:00",1202,1202,0,0,0,100
55,"2018-04-14 14:00:00",893,893,0,0,0,100
44,"2018-04-14 03:00:00",321,321,0,0,0,100
13,"2018-04-12 02:00:00",1717,1717,0,0,0,100
7,"2018-04-11 20:00:00",2102,2102,0,0,0,100
71,"2018-04-15 06:00:00",757,757,0,0,0,100
25,"2018-04-13 08:00:00",1793,1793,0,0,0,100
8,"2018-04-11 21:00:00",1303,1303,0,0,0,100
4,"2018-04-11 17:00:00",3427,3427,0,0,0,100
1,"2018-04-11 14:00:00",1751,1751,0,0,0,100
67,"2018-04-15 02:00:00",150,150,0,0,0,100
51,"2018-04-14 10:00:00",575,575,0,0,0,100
18,"2018-04-12 07:00:00",2985,2985,0,0,0,100
40,"2018-04-13 23:00:00",314,314,0,0,0,100
14,"2018-04-12 03:00:00",1892,1892,0,0,0,100
26,"2018-04-13 09:00:00",1492,1492,0,0,0,100
9,"2018-04-11 22:00:00",2162,2162,0,0,0,100
96,"2018-04-16 07:00:00",1980,1980,0,0,0,100
42,"2018-04-14 01:00:00",360,360,0,0,0,100
19,"2018-04-12 08:00:00",2397,2397,0,0,0,100
50,"2018-04-14 09:00:00",1058,1058,0,0,0,100
49,"2018-04-14 08:00:00",961,961,0,0,0,100
15,"2018-04-12 04:00:00",2728,2728,0,0,0,100
48,"2018-04-14 07:00:00",1025,1025,0,0,0,100
27,"2018-04-13 10:00:00",1999,1997,2,0,0,99.975
22,"2018-04-12 11:00:00",1211,1209,2,0,0,99.9587
28,"2018-04-13 11:00:00",1409,1409,0,0,0,100
20,"2018-04-12 09:00:00",2169,2169,0,0,0,100
77,"2018-04-15 12:00:00",1266,1266,0,0,0,100
47,"2018-04-14 06:00:00",808,808,0,0,0,100
52,"2018-04-14 11:00:00",707,707,0,0,0,100
29,"2018-04-13 12:00:00",889,889,0,0,0,100
21,"2018-04-12 10:00:00",1695,1695,0,0,0,100
46,"2018-04-14 05:00:00",685,685,0,0,0,100
30,"2018-04-13 13:00:00",1710,1701,9,0,0,99.8684
68,"2018-04-15 03:00:00",243,243,0,0,0,100
61,"2018-04-14 20:00:00",1251,1251,0,0,0,100
31,"2018-04-13 14:00:00",865,865,0,0,0,100
82,"2018-04-15 17:00:00",2176,2176,0,0,0,100
32,"2018-04-13 15:00:00",959,959,0,0,0,100
33,"2018-04-13 16:00:00",1118,1118,0,0,0,100
58,"2018-04-14 17:00:00",1475,1475,0,0,0,100
39,"2018-04-13 22:00:00",494,494,0,0,0,100
34,"2018-04-13 17:00:00",1193,1193,0,0,0,100
56,"2018-04-14 15:00:00",717,717,0,0,0,100
43,"2018-04-14 02:00:00",265,265,0,0,0,100
35,"2018-04-13 18:00:00",1292,1292,0,0,0,100
36,"2018-04-13 19:00:00",1079,1079,0,0,0,100
38,"2018-04-13 21:00:00",630,630,0,0,0,100
45,"2018-04-14 04:00:00",287,287,0,0,0,100
53,"2018-04-14 12:00:00",986,986,0,0,0,100
87,"2018-04-15 22:00:00",792,792,0,0,0,100
74,"2018-04-15 09:00:00",1936,1934,2,0,0,99.9742
73,"2018-04-15 08:00:00",900,900,0,0,0,100
85,"2018-04-15 20:00:00",1737,1737,0,0,0,100
66,"2018-04-15 01:00:00",198,198,0,0,0,100
60,"2018-04-14 19:00:00",1539,1539,0,0,0,100
86,"2018-04-15 21:00:00",1024,1024,0,0,0,100
75,"2018-04-15 10:00:00",2901,2901,0,0,0,100
54,"2018-04-14 13:00:00",753,753,0,0,0,100
62,"2018-04-14 21:00:00",585,585,0,0,0,100
64,"2018-04-14 23:00:00",642,642,0,0,0,100
63,"2018-04-14 22:00:00",403,403,0,0,0,100
57,"2018-04-14 16:00:00",1034,1034,0,0,0,100
80,"2018-04-15 15:00:00",1571,1571,0,0,0,100
79,"2018-04-15 14:00:00",1225,1225,0,0,0,100
70,"2018-04-15 05:00:00",439,439,0,0,0,100
72,"2018-04-15 07:00:00",1340,1340,0,0,0,100
69,"2018-04-15 04:00:00",181,181,0,0,0,100
99,"2018-04-16 10:00:00",1098,1098,0,0,0,100
76,"2018-04-15 11:00:00",2277,2277,0,0,0,100
101,"2018-04-16 12:00:00",966,966,0,0,0,100
78,"2018-04-15 13:00:00",1487,1487,0,0,0,100
81,"2018-04-15 16:00:00",1576,1576,0,0,0,100
91,"2018-04-16 02:00:00",597,597,0,0,0,100
100,"2018-04-16 11:00:00",1806,1806,0,0,0,100
84,"2018-04-15 19:00:00",1788,1788,0,0,0,100
93,"2018-04-16 04:00:00",1190,1190,0,0,0,100
83,"2018-04-15 18:00:00",2052,2052,0,0,0,100
95,"2018-04-16 06:00:00",1504,1502,2,0,0,99.9668
94,"2018-04-16 05:00:00",1621,1621,0,0,0,100
90,"2018-04-16 01:00:00",826,826,0,0,0,100
92,"2018-04-16 03:00:00",951,951,0,0,0,100
97,"2018-04-16 08:00:00",1233,1229,4,0,0,99.9189
102,"2018-04-16 13:00:00",1220,1220,0,0,0,100
98,"2018-04-16 09:00:00",1198,1198,0,0,0,100
103,"2018-04-16 14:00:00",1216,1216,0,0,0,100
106,"2018-04-16 17:00:00",1999,1999,0,0,0,100
104,"2018-04-16 15:00:00",1834,1833,1,0,0,99.9864
105,"2018-04-16 16:00:00",1770,1770,0,0,0,100
110,"2018-04-16 21:00:00",1065,1065,0,0,0,100
107,"2018-04-16 18:00:00",2348,2348,0,0,0,100
108,"2018-04-16 19:00:00",2540,2540,0,0,0,100
109,"2018-04-16 20:00:00",1275,1275,0,0,0,100
112,"2018-04-16 23:00:00",806,806,0,0,0,100
111,"2018-04-16 22:00:00",826,826,0,0,0,100
137,"2018-04-18 00:00:00",938,938,0,0,0,100
141,"2018-04-18 04:00:00",1259,1259,0,0,0,100
115,"2018-04-17 02:00:00",748,748,0,0,0,100
120,"2018-04-17 07:00:00",1037,1037,0,0,0,100
129,"2018-04-17 16:00:00",1968,1948,20,0,0,99.7459
149,"2018-04-18 12:00:00",2169,2169,0,0,0,100
131,"2018-04-17 18:00:00",1833,1833,0,0,0,100
135,"2018-04-17 22:00:00",1025,1025,0,0,0,100
162,"2018-04-19 01:00:00",384,384,0,0,0,100
133,"2018-04-17 20:00:00",1335,1335,0,0,0,100
117,"2018-04-17 04:00:00",979,979,0,0,0,100
122,"2018-04-17 09:00:00",1125,1125,0,0,0,100
155,"2018-04-18 18:00:00",1902,1902,0,0,0,100
185,"2018-04-20 00:00:00",1057,1057,0,0,0,100
143,"2018-04-18 06:00:00",1692,1692,0,0,0,100
199,"2018-04-20 14:00:00",1574,1568,6,0,0,99.9047
154,"2018-04-18 17:00:00",1423,1423,0,0,0,100
190,"2018-04-20 05:00:00",1591,1591,0,0,0,100
179,"2018-04-19 18:00:00",1713,1713,0,0,0,100
124,"2018-04-17 11:00:00",1218,1218,0,0,0,100
113,"2018-04-17 00:00:00",778,778,0,0,0,100
119,"2018-04-17 06:00:00",1813,1813,0,0,0,100
114,"2018-04-17 01:00:00",718,718,0,0,0,100
172,"2018-04-19 11:00:00",1527,1527,0,0,0,100
163,"2018-04-19 02:00:00",642,642,0,0,0,100
126,"2018-04-17 13:00:00",1169,1168,1,0,0,99.9786
153,"2018-04-18 16:00:00",1092,1092,0,0,0,100
145,"2018-04-18 08:00:00",1355,1355,0,0,0,100
128,"2018-04-17 15:00:00",1124,1124,0,0,0,100
116,"2018-04-17 03:00:00",749,749,0,0,0,100
148,"2018-04-18 11:00:00",2153,2153,0,0,0,100
175,"2018-04-19 14:00:00",959,959,0,0,0,100
121,"2018-04-17 08:00:00",1143,1143,0,0,0,100
188,"2018-04-20 03:00:00",907,907,0,0,0,100
195,"2018-04-20 10:00:00",1921,1920,1,0,0,99.987
152,"2018-04-18 15:00:00",1735,1735,0,0,0,100
130,"2018-04-17 17:00:00",1589,1589,0,0,0,100
118,"2018-04-17 05:00:00",1855,1855,0,0,0,100
138,"2018-04-18 01:00:00",948,948,0,0,0,100
132,"2018-04-17 19:00:00",2251,2251,0,0,0,100
123,"2018-04-17 10:00:00",1146,1143,3,0,0,99.9346
196,"2018-04-20 11:00:00",2150,2141,9,0,0,99.8953
140,"2018-04-18 03:00:00",1009,1009,0,0,0,100
136,"2018-04-17 23:00:00",1034,1034,0,0,0,100
134,"2018-04-17 21:00:00",1227,1227,0,0,0,100
169,"2018-04-19 08:00:00",1448,1448,0,0,0,100
164,"2018-04-19 03:00:00",906,906,0,0,0,100
182,"2018-04-19 21:00:00",1463,1463,0,0,0,100
142,"2018-04-18 05:00:00",1684,1684,0,0,0,100
167,"2018-04-19 06:00:00",2040,2040,0,0,0,100
125,"2018-04-17 12:00:00",1402,1402,0,0,0,100
127,"2018-04-17 14:00:00",1109,1109,0,0,0,100
147,"2018-04-18 10:00:00",1249,1249,0,0,0,100
180,"2018-04-19 19:00:00",1594,1594,0,0,0,100
151,"2018-04-18 14:00:00",896,896,0,0,0,100
171,"2018-04-19 10:00:00",1414,1414,0,0,0,100
174,"2018-04-19 13:00:00",1100,1100,0,0,0,100
144,"2018-04-18 07:00:00",1085,1085,0,0,0,100
200,"2018-04-20 15:00:00",1082,1082,0,0,0,100
194,"2018-04-20 09:00:00",2236,2236,0,0,0,100
165,"2018-04-19 04:00:00",1338,1337,1,0,0,99.9813
150,"2018-04-18 13:00:00",1213,1213,0,0,0,100
189,"2018-04-20 04:00:00",1129,1129,0,0,0,100
204,"2018-04-20 19:00:00",2313,2308,5,0,0,99.946
201,"2018-04-20 16:00:00",1154,1154,0,0,0,100
146,"2018-04-18 09:00:00",1207,1207,0,0,0,100
139,"2018-04-18 02:00:00",941,941,0,0,0,100
159,"2018-04-18 22:00:00",739,739,0,0,0,100
160,"2018-04-18 23:00:00",444,444,0,0,0,100
161,"2018-04-19 00:00:00",375,375,0,0,0,100
184,"2018-04-19 23:00:00",887,887,0,0,0,100
158,"2018-04-18 21:00:00",997,997,0,0,0,100
157,"2018-04-18 20:00:00",1606,1606,0,0,0,100
156,"2018-04-18 19:00:00",1971,1971,0,0,0,100
203,"2018-04-20 18:00:00",1715,1715,0,0,0,100
168,"2018-04-19 07:00:00",2436,2436,0,0,0,100
170,"2018-04-19 09:00:00",1610,1610,0,0,0,100
173,"2018-04-19 12:00:00",1072,1072,0,0,0,100
181,"2018-04-19 20:00:00",1198,1198,0,0,0,100
166,"2018-04-19 05:00:00",1941,1941,0,0,0,100
198,"2018-04-20 13:00:00",1888,1888,0,0,0,100
177,"2018-04-19 16:00:00",1086,1086,0,0,0,100
187,"2018-04-20 02:00:00",884,884,0,0,0,100
176,"2018-04-19 15:00:00",1230,1230,0,0,0,100
178,"2018-04-19 17:00:00",1866,1866,0,0,0,100
186,"2018-04-20 01:00:00",918,918,0,0,0,100
183,"2018-04-19 22:00:00",864,864,0,0,0,100
191,"2018-04-20 06:00:00",1816,1816,0,0,0,100
