"id","cnt","ts"
6,35,"2018-04-11 14:30:00"
102,21,"2018-04-11 22:30:00"
61,63,"2018-04-11 19:05:00"
1,14,"2018-04-11 14:05:00"
12,40,"2018-04-11 15:00:00"
48,60,"2018-04-11 18:00:00"
18,36,"2018-04-11 15:30:00"
7,34,"2018-04-11 14:35:00"
24,38,"2018-04-11 16:00:00"
2,29,"2018-04-11 14:10:00"
30,51,"2018-04-11 16:30:00"
13,41,"2018-04-11 15:05:00"
81,48,"2018-04-11 20:45:00"
74,49,"2018-04-11 20:10:00"
8,37,"2018-04-11 14:40:00"
3,37,"2018-04-11 14:15:00"
36,46,"2018-04-11 17:00:00"
19,41,"2018-04-11 15:35:00"
42,65,"2018-04-11 17:30:00"
14,40,"2018-04-11 15:10:00"
4,40,"2018-04-11 14:20:00"
9,38,"2018-04-11 14:45:00"
25,43,"2018-04-11 16:05:00"
89,32,"2018-04-11 21:25:00"
20,44,"2018-04-11 15:40:00"
5,39,"2018-04-11 14:25:00"
15,42,"2018-04-11 15:15:00"
10,39,"2018-04-11 14:50:00"
31,55,"2018-04-11 16:35:00"
55,75,"2018-04-11 18:35:00"
26,48,"2018-04-11 16:10:00"
37,47,"2018-04-11 17:05:00"
11,39,"2018-04-11 14:55:00"
16,44,"2018-04-11 15:20:00"
21,49,"2018-04-11 15:45:00"
49,54,"2018-04-11 18:05:00"
43,67,"2018-04-11 17:35:00"
32,63,"2018-04-11 16:40:00"
68,59,"2018-04-11 19:40:00"
27,54,"2018-04-11 16:15:00"
17,43,"2018-04-11 15:25:00"
22,49,"2018-04-11 15:50:00"
62,68,"2018-04-11 19:10:00"
38,48,"2018-04-11 17:10:00"
123,22,"2018-04-12 00:15:00"
33,64,"2018-04-11 16:45:00"
23,41,"2018-04-11 15:55:00"
28,53,"2018-04-11 16:20:00"
56,66,"2018-04-11 18:40:00"
50,56,"2018-04-11 18:10:00"
44,58,"2018-04-11 17:40:00"
116,16,"2018-04-11 23:40:00"
39,49,"2018-04-11 17:15:00"
29,49,"2018-04-11 16:25:00"
34,58,"2018-04-11 16:50:00"
112,22,"2018-04-11 23:20:00"
75,44,"2018-04-11 20:15:00"
82,51,"2018-04-11 20:50:00"
45,60,"2018-04-11 17:45:00"
69,63,"2018-04-11 19:45:00"
63,66,"2018-04-11 19:15:00"
40,61,"2018-04-11 17:20:00"
35,48,"2018-04-11 16:55:00"
51,58,"2018-04-11 18:15:00"
57,62,"2018-04-11 18:45:00"
46,60,"2018-04-11 17:50:00"
90,29,"2018-04-11 21:30:00"
41,64,"2018-04-11 17:25:00"
97,25,"2018-04-11 22:05:00"
52,67,"2018-04-11 18:20:00"
58,64,"2018-04-11 18:50:00"
47,63,"2018-04-11 17:55:00"
126,15,"2018-04-12 00:30:00"
64,63,"2018-04-11 19:20:00"
76,44,"2018-04-11 20:20:00"
70,61,"2018-04-11 19:50:00"
53,69,"2018-04-11 18:25:00"
59,64,"2018-04-11 18:55:00"
83,45,"2018-04-11 20:55:00"
91,23,"2018-04-11 21:35:00"
54,74,"2018-04-11 18:30:00"
120,21,"2018-04-12 00:00:00"
65,66,"2018-04-11 19:25:00"
103,19,"2018-04-11 22:35:00"
60,69,"2018-04-11 19:00:00"
108,17,"2018-04-11 23:00:00"
71,55,"2018-04-11 19:55:00"
77,45,"2018-04-11 20:25:00"
66,59,"2018-04-11 19:30:00"
98,26,"2018-04-11 22:10:00"
84,37,"2018-04-11 21:00:00"
92,26,"2018-04-11 21:40:00"
72,54,"2018-04-11 20:00:00"
78,43,"2018-04-11 20:30:00"
67,62,"2018-04-11 19:35:00"
140,19,"2018-04-12 01:40:00"
129,14,"2018-04-12 00:45:00"
113,19,"2018-04-11 23:25:00"
85,29,"2018-04-11 21:05:00"
73,51,"2018-04-11 20:05:00"
104,18,"2018-04-11 22:40:00"
79,45,"2018-04-11 20:35:00"
93,26,"2018-04-11 21:45:00"
99,25,"2018-04-11 22:15:00"
86,31,"2018-04-11 21:10:00"
117,18,"2018-04-11 23:45:00"
80,45,"2018-04-11 20:40:00"
109,20,"2018-04-11 23:05:00"
141,19,"2018-04-12 01:45:00"
139,19,"2018-04-12 01:35:00"
94,29,"2018-04-11 21:50:00"
87,37,"2018-04-11 21:15:00"
124,18,"2018-04-12 00:20:00"
105,20,"2018-04-11 22:45:00"
100,23,"2018-04-11 22:20:00"
121,22,"2018-04-12 00:05:00"
88,37,"2018-04-11 21:20:00"
114,15,"2018-04-11 23:30:00"
95,28,"2018-04-11 21:55:00"
110,24,"2018-04-11 23:10:00"
134,19,"2018-04-12 01:10:00"
101,23,"2018-04-11 22:25:00"
106,19,"2018-04-11 22:50:00"
96,24,"2018-04-11 22:00:00"
127,15,"2018-04-12 00:35:00"
118,19,"2018-04-11 23:50:00"
136,16,"2018-04-12 01:20:00"
132,17,"2018-04-12 01:00:00"
111,23,"2018-04-11 23:15:00"
115,15,"2018-04-11 23:35:00"
107,19,"2018-04-11 22:55:00"
122,23,"2018-04-12 00:10:00"
125,15,"2018-04-12 00:25:00"
119,18,"2018-04-11 23:55:00"
130,15,"2018-04-12 00:50:00"
128,15,"2018-04-12 00:40:00"
138,17,"2018-04-12 01:30:00"
143,22,"2018-04-12 01:55:00"
142,21,"2018-04-12 01:50:00"
135,20,"2018-04-12 01:15:00"
133,18,"2018-04-12 01:05:00"
131,14,"2018-04-12 00:55:00"
144,18,"2018-04-12 02:00:00"
137,16,"2018-04-12 01:25:00"
145,14,"2018-04-12 02:05:00"
259,30,"2018-04-12 11:35:00"
179,27,"2018-04-12 04:55:00"
170,20,"2018-04-12 04:10:00"
238,31,"2018-04-12 09:50:00"
162,18,"2018-04-12 03:30:00"
154,13,"2018-04-12 02:50:00"
146,13,"2018-04-12 02:10:00"
206,34,"2018-04-12 07:10:00"
188,43,"2018-04-12 05:40:00"
197,42,"2018-04-12 06:25:00"
171,22,"2018-04-12 04:15:00"
147,16,"2018-04-12 02:15:00"
155,13,"2018-04-12 02:55:00"
163,16,"2018-04-12 03:35:00"
224,37,"2018-04-12 08:40:00"
