"id","ts","min","max","avg","sum","cnt"
16,"2018-06-16 01:00:00",0,80752,165,108986,658
3,"2018-06-15 12:00:00",0,121955,334,364825,1091
7,"2018-06-15 16:00:00",0,31508,113,115059,1016
22,"2018-06-16 07:00:00",0,16495,23,27873,1186
44,"2018-06-17 05:00:00",0,1789,17,16764,974
62,"2018-06-17 23:00:00",0,12165,41,34569,830
39,"2018-06-17 00:00:00",0,14852,117,104684,890
23,"2018-06-16 08:00:00",0,66312,93,112607,1198
12,"2018-06-15 21:00:00",0,5414,38,32650,843
4,"2018-06-15 13:00:00",0,94564,35,121534,3457
8,"2018-06-15 17:00:00",0,12759,58,56235,954
50,"2018-06-17 11:00:00",0,83278,102,132096,1290
17,"2018-06-16 02:00:00",0,3849,26,16889,649
79,"2018-06-18 18:00:00",0,1623,16,23098,1395
81,"2018-06-18 20:00:00",0,8803,35,42225,1191
1,"2018-06-15 10:00:00",0,11059,136,37106,271
24,"2018-06-16 09:00:00",0,12913,32,43052,1305
41,"2018-06-17 02:00:00",0,1367,8,7048,870
5,"2018-06-15 14:00:00",0,29088,72,107031,1467
13,"2018-06-15 22:00:00",0,2315,32,24367,761
58,"2018-06-17 19:00:00",0,16623,35,68566,1911
9,"2018-06-15 18:00:00",0,16094,42,41413,982
18,"2018-06-16 03:00:00",0,2633,37,29558,789
74,"2018-06-18 11:00:00",0,1975,12,19429,1541
2,"2018-06-15 11:00:00",0,42499,86,99673,1154
25,"2018-06-16 10:00:00",0,11927,101,123876,1215
6,"2018-06-15 15:00:00",0,6612,41,40020,964
87,"2018-06-19 02:00:00",0,1291,15,24762,1550
14,"2018-06-15 23:00:00",0,2702,29,24310,818
10,"2018-06-15 19:00:00",0,28215,63,71925,1128
47,"2018-06-17 08:00:00",0,15384,35,46389,1308
26,"2018-06-16 11:00:00",0,7089,27,40803,1507
19,"2018-06-16 04:00:00",0,6668,44,34204,774
61,"2018-06-17 22:00:00",0,53584,181,103847,573
71,"2018-06-18 08:00:00",0,10227,34,52059,1491
45,"2018-06-17 06:00:00",0,3754,16,20547,1214
27,"2018-06-16 12:00:00",0,4827,29,42512,1450
11,"2018-06-15 20:00:00",0,8095,34,39750,1140
15,"2018-06-16 00:00:00",0,7887,42,31323,739
42,"2018-06-17 03:00:00",0,4687,20,17563,855
20,"2018-06-16 05:00:00",0,3110,23,18178,768
67,"2018-06-18 04:00:00",0,4876,22,28077,1254
49,"2018-06-17 10:00:00",0,2490,15,19321,1222
28,"2018-06-16 13:00:00",0,1587,11,14142,1265
59,"2018-06-17 20:00:00",0,3226,40,27014,673
21,"2018-06-16 06:00:00",0,2218,23,20889,892
29,"2018-06-16 14:00:00",0,3838,31,38258,1227
54,"2018-06-17 15:00:00",0,6121,43,53249,1225
53,"2018-06-17 14:00:00",0,7212,42,47026,1106
30,"2018-06-16 15:00:00",0,2045,16,26760,1654
76,"2018-06-18 13:00:00",0,2925,13,19605,1437
31,"2018-06-16 16:00:00",0,8419,25,67600,2702
43,"2018-06-17 04:00:00",0,5209,20,17853,884
32,"2018-06-16 17:00:00",0,22807,28,69474,2422
52,"2018-06-17 13:00:00",0,3753,21,25820,1218
33,"2018-06-16 18:00:00",0,33925,119,146538,1224
34,"2018-06-16 19:00:00",0,64912,119,149654,1249
35,"2018-06-16 20:00:00",0,10533,28,30744,1080
55,"2018-06-17 16:00:00",0,36709,32,75462,2294
36,"2018-06-16 21:00:00",0,14911,30,31130,1015
86,"2018-06-19 01:00:00",0,2332,12,18654,1551
37,"2018-06-16 22:00:00",0,16196,51,60135,1169
46,"2018-06-17 07:00:00",0,4608,27,32473,1186
38,"2018-06-16 23:00:00",0,2856,80,69409,867
78,"2018-06-18 17:00:00",0,10236,66,65703,986
48,"2018-06-17 09:00:00",0,31856,49,68892,1378
40,"2018-06-17 01:00:00",0,10264,46,35056,754
64,"2018-06-18 01:00:00",0,6907,24,23715,962
51,"2018-06-17 12:00:00",0,28328,58,67593,1147
56,"2018-06-17 17:00:00",0,9897,52,69965,1331
80,"2018-06-18 19:00:00",0,20242,47,44704,948
65,"2018-06-18 02:00:00",0,7584,23,25778,1082
75,"2018-06-18 12:00:00",0,16851,40,61517,1529
57,"2018-06-17 18:00:00",0,4838,19,30949,1574
60,"2018-06-17 21:00:00",0,3373,31,24947,795
63,"2018-06-18 00:00:00",0,144406,167,166076,993
69,"2018-06-18 06:00:00",0,5999,18,23783,1266
68,"2018-06-18 05:00:00",0,6413,10,37058,3653
66,"2018-06-18 03:00:00",0,56174,29,113415,3804
73,"2018-06-18 10:00:00",0,7562,28,37040,1293
85,"2018-06-19 00:00:00",0,69394,57,106879,1860
70,"2018-06-18 07:00:00",0,13531,47,62894,1330
72,"2018-06-18 09:00:00",0,29878,51,75691,1456
77,"2018-06-18 14:00:00",0,1446,22,11445,502
83,"2018-06-18 22:00:00",0,6411,24,42836,1744
82,"2018-06-18 21:00:00",0,6698,18,23587,1271
84,"2018-06-18 23:00:00",0,7384,15,30459,1969
