"id","ts","min","max","avg","sum","cnt"
1,"2018-06-15 10:40:00",0,220,16,220,13
55,"2018-06-15 15:10:00",0,5451,120,9776,81
12,"2018-06-15 11:35:00",0,584,18,1266,69
30,"2018-06-15 13:05:00",0,1330,29,2754,94
7,"2018-06-15 11:10:00",0,27247,240,30517,127
18,"2018-06-15 12:05:00",0,165,2,238,88
2,"2018-06-15 10:45:00",0,5941,257,20062,78
36,"2018-06-15 13:35:00",0,1021,34,1907,55
24,"2018-06-15 12:35:00",0,953,22,2842,125
13,"2018-06-15 11:40:00",0,494,19,3200,161
42,"2018-06-15 14:05:00",0,29088,370,29971,81
8,"2018-06-15 11:15:00",0,1037,59,5092,85
3,"2018-06-15 10:50:00",0,741,37,3293,88
62,"2018-06-15 15:45:00",0,164,2,164,73
47,"2018-06-15 14:30:00",0,662,12,1101,86
19,"2018-06-15 12:10:00",0,511,7,670,87
14,"2018-06-15 11:45:00",0,1632,26,2736,102
4,"2018-06-15 10:55:00",0,11059,147,13531,92
9,"2018-06-15 11:20:00",0,400,17,1219,71
31,"2018-06-15 13:10:00",0,165,3,457,117
65,"2018-06-15 16:00:00",0,491,12,829,67
37,"2018-06-15 13:40:00",0,980,16,981,61
5,"2018-06-15 11:00:00",0,42499,480,46652,97
59,"2018-06-15 15:30:00",0,158,5,499,86
20,"2018-06-15 12:15:00",0,12245,296,24024,81
15,"2018-06-15 11:50:00",0,1327,35,3047,87
10,"2018-06-15 11:25:00",0,181,8,710,79
6,"2018-06-15 11:05:00",0,182,5,607,119
25,"2018-06-15 12:40:00",0,121955,1300,122211,94
89,"2018-06-15 18:00:00",0,1245,24,2042,84
43,"2018-06-15 14:10:00",0,1289,4,2447,498
32,"2018-06-15 13:15:00",0,1365,16,2590,156
11,"2018-06-15 11:30:00",0,406,40,3753,93
16,"2018-06-15 11:55:00",0,576,13,874,64
26,"2018-06-15 12:45:00",0,905,20,2288,110
21,"2018-06-15 12:20:00",0,12961,344,25495,74
52,"2018-06-15 14:55:00",0,497,53,5390,100
38,"2018-06-15 13:45:00",0,675,25,1874,74
27,"2018-06-15 12:50:00",0,12828,179,13496,75
17,"2018-06-15 12:00:00",0,19354,795,50131,63
86,"2018-06-15 17:45:00",0,285,16,1079,66
22,"2018-06-15 12:25:00",0,25796,537,45124,84
78,"2018-06-15 17:05:00",0,2772,29,2799,95
48,"2018-06-15 14:35:00",0,824,32,2199,67
56,"2018-06-15 15:15:00",0,1331,30,2212,72
33,"2018-06-15 13:20:00",0,94564,53,96325,1794
28,"2018-06-15 12:55:00",0,16906,231,22034,95
23,"2018-06-15 12:30:00",0,28652,489,56272,115
68,"2018-06-15 16:15:00",0,570,27,2133,78
44,"2018-06-15 14:15:00",0,201,18,975,54
39,"2018-06-15 13:50:00",0,82,4,197,47
34,"2018-06-15 13:25:00",0,10851,14,11453,805
29,"2018-06-15 13:00:00",0,661,18,1890,101
60,"2018-06-15 15:35:00",0,253,3,458,121
53,"2018-06-15 15:00:00",0,3243,109,9642,88
49,"2018-06-15 14:40:00",0,236,8,654,81
40,"2018-06-15 13:55:00",0,164,4,262,63
45,"2018-06-15 14:20:00",0,583,23,3297,138
35,"2018-06-15 13:30:00",0,600,9,844,90
63,"2018-06-15 15:50:00",0,826,19,1288,66
57,"2018-06-15 15:20:00",0,1484,26,1581,60
41,"2018-06-15 14:00:00",0,2318,68,3228,47
73,"2018-06-15 16:40:00",0,663,20,1459,71
71,"2018-06-15 16:30:00",0,405,23,1384,58
66,"2018-06-15 16:05:00",0,31508,430,36202,84
50,"2018-06-15 14:45:00",0,10959,305,28074,92
46,"2018-06-15 14:25:00",0,377,8,825,98
54,"2018-06-15 15:05:00",0,496,35,2783,78
61,"2018-06-15 15:40:00",0,6612,96,8015,83
58,"2018-06-15 15:25:00",0,1119,19,1711,88
51,"2018-06-15 14:50:00",0,16966,230,28870,125
82,"2018-06-15 17:25:00",0,497,14,1456,103
64,"2018-06-15 15:55:00",0,1339,27,1891,68
69,"2018-06-15 16:20:00",0,191,4,219,52
75,"2018-06-15 16:50:00",0,10395,152,19411,127
81,"2018-06-15 17:20:00",0,2172,39,3627,93
67,"2018-06-15 16:10:00",0,1284,30,2107,69
77,"2018-06-15 17:00:00",0,1603,34,2854,82
72,"2018-06-15 16:35:00",0,466,9,1042,112
80,"2018-06-15 17:15:00",0,332,7,617,78
70,"2018-06-15 16:25:00",0,21103,396,43579,110
74,"2018-06-15 16:45:00",0,1968,34,3076,88
79,"2018-06-15 17:10:00",0,493,12,882,69
83,"2018-06-15 17:30:00",0,1485,73,5394,73
76,"2018-06-15 16:55:00",0,1483,36,3618,100
90,"2018-06-15 18:05:00",0,16094,232,19290,83
84,"2018-06-15 17:35:00",0,1488,35,3040,85
95,"2018-06-15 18:30:00",0,109,10,901,82
85,"2018-06-15 17:40:00",0,1466,48,3377,70
87,"2018-06-15 17:50:00",0,165,6,417,69
88,"2018-06-15 17:55:00",0,12759,432,30693,71
91,"2018-06-15 18:10:00",0,494,17,1212,70
92,"2018-06-15 18:15:00",0,866,19,1368,69
93,"2018-06-15 18:20:00",0,537,15,1093,72
94,"2018-06-15 18:25:00",0,412,22,3408,151
