"id","ts","min","max","avg","sum","cnt"
16,"2018-06-16 01:00:00",225,4714990,15149,9968317,658
3,"2018-06-15 12:00:00",317,15027942,118626,129421739,1091
7,"2018-06-15 16:00:00",225,2632414,11266,11446703,1016
22,"2018-06-16 07:00:00",225,357869,5912,7011902,1186
44,"2018-06-17 05:00:00",225,345822,7074,6890843,974
62,"2018-06-17 23:00:00",225,207203,11041,9164731,830
39,"2018-06-17 00:00:00",344,242951,8161,7264066,890
23,"2018-06-16 08:00:00",225,4336239,13578,16267123,1198
12,"2018-06-15 21:00:00",225,671988,7962,6712747,843
4,"2018-06-15 13:00:00",225,921799,6861,23719501,3457
8,"2018-06-15 17:00:00",225,980823,10039,9577761,954
50,"2018-06-17 11:00:00",403,4714990,10926,14095742,1290
17,"2018-06-16 02:00:00",225,256062,7435,4825403,649
79,"2018-06-18 18:00:00",529,357668,8105,11307144,1395
81,"2018-06-18 20:00:00",482,2571434,13263,15796683,1191
1,"2018-06-15 10:00:00",347,3616993,41445,11231827,271
24,"2018-06-16 09:00:00",225,1195605,8128,10607087,1305
41,"2018-06-17 02:00:00",495,106251,6035,5250545,870
5,"2018-06-15 14:00:00",225,15027942,25987,38123829,1467
13,"2018-06-15 22:00:00",225,386340,9519,7244692,761
58,"2018-06-17 19:00:00",514,2571441,10939,20905055,1911
9,"2018-06-15 18:00:00",225,1987687,11291,11088305,982
18,"2018-06-16 03:00:00",225,123033,6794,5360674,789
74,"2018-06-18 11:00:00",512,980329,8253,12718491,1541
2,"2018-06-15 11:00:00",225,6459109,18823,21721866,1154
25,"2018-06-16 10:00:00",576,1646689,31664,38472922,1215
6,"2018-06-15 15:00:00",225,1721097,11682,11262306,964
87,"2018-06-19 02:00:00",572,258006,7554,11709347,1550
14,"2018-06-15 23:00:00",225,161727,7352,6014289,818
10,"2018-06-15 19:00:00",225,8189612,14550,16412800,1128
47,"2018-06-17 08:00:00",225,182983,10382,13580020,1308
26,"2018-06-16 11:00:00",243,1579855,11913,17953403,1507
19,"2018-06-16 04:00:00",225,6459058,16656,12892383,774
61,"2018-06-17 22:00:00",225,2423263,16388,9390531,573
71,"2018-06-18 08:00:00",225,1494245,9122,13601666,1491
45,"2018-06-17 06:00:00",225,224515,6988,8483659,1214
