"id","cnt","ts"
16,62,"2018-06-16 01:00:00"
3,81,"2018-06-15 12:00:00"
7,89,"2018-06-15 16:00:00"
22,72,"2018-06-16 07:00:00"
121,95,"2018-06-20 12:00:00"
56,87,"2018-06-17 17:00:00"
126,74,"2018-06-20 22:00:00"
23,84,"2018-06-16 08:00:00"
12,79,"2018-06-15 21:00:00"
4,73,"2018-06-15 13:00:00"
8,77,"2018-06-15 17:00:00"
17,52,"2018-06-16 02:00:00"
77,121,"2018-06-18 14:00:00"
55,82,"2018-06-17 16:00:00"
1,81,"2018-06-15 10:00:00"
24,90,"2018-06-16 09:00:00"
62,57,"2018-06-17 23:00:00"
5,68,"2018-06-15 14:00:00"
13,70,"2018-06-15 22:00:00"
125,96,"2018-06-20 21:00:00"
9,81,"2018-06-15 18:00:00"
67,83,"2018-06-18 04:00:00"
18,56,"2018-06-16 03:00:00"
54,79,"2018-06-17 15:00:00"
2,84,"2018-06-15 11:00:00"
25,81,"2018-06-16 10:00:00"
6,66,"2018-06-15 15:00:00"
53,94,"2018-06-17 14:00:00"
14,69,"2018-06-15 23:00:00"
10,146,"2018-06-15 19:00:00"
99,94,"2018-06-19 14:00:00"
26,92,"2018-06-16 11:00:00"
19,62,"2018-06-16 04:00:00"
72,95,"2018-06-18 09:00:00"
61,69,"2018-06-17 22:00:00"
52,85,"2018-06-17 13:00:00"
27,94,"2018-06-16 12:00:00"
11,82,"2018-06-15 20:00:00"
15,62,"2018-06-16 00:00:00"
20,68,"2018-06-16 05:00:00"
98,103,"2018-06-19 13:00:00"
51,81,"2018-06-17 12:00:00"
28,73,"2018-06-16 13:00:00"
84,73,"2018-06-18 23:00:00"
50,85,"2018-06-17 11:00:00"
21,71,"2018-06-16 06:00:00"
49,88,"2018-06-17 10:00:00"
29,82,"2018-06-16 14:00:00"
48,89,"2018-06-17 09:00:00"
30,86,"2018-06-16 15:00:00"
47,73,"2018-06-17 08:00:00"
31,149,"2018-06-16 16:00:00"
46,81,"2018-06-17 07:00:00"
32,167,"2018-06-16 17:00:00"
45,60,"2018-06-17 06:00:00"
33,68,"2018-06-16 18:00:00"
34,80,"2018-06-16 19:00:00"
35,78,"2018-06-16 20:00:00"
40,48,"2018-06-17 01:00:00"
36,78,"2018-06-16 21:00:00"
37,136,"2018-06-16 22:00:00"
38,58,"2018-06-16 23:00:00"
39,59,"2018-06-17 00:00:00"
76,126,"2018-06-18 13:00:00"
42,55,"2018-06-17 03:00:00"
41,55,"2018-06-17 02:00:00"
43,51,"2018-06-17 04:00:00"
44,57,"2018-06-17 05:00:00"
66,76,"2018-06-18 03:00:00"
91,83,"2018-06-19 06:00:00"
97,95,"2018-06-19 12:00:00"
60,76,"2018-06-17 21:00:00"
71,120,"2018-06-18 08:00:00"
127,67,"2018-06-20 23:00:00"
100,112,"2018-06-19 15:00:00"
59,94,"2018-06-17 20:00:00"
65,76,"2018-06-18 02:00:00"
87,44,"2018-06-19 02:00:00"
96,91,"2018-06-19 11:00:00"
79,110,"2018-06-18 18:00:00"
58,99,"2018-06-17 19:00:00"
109,74,"2018-06-20 00:00:00"
70,111,"2018-06-18 07:00:00"
64,67,"2018-06-18 01:00:00"
106,83,"2018-06-19 21:00:00"
57,83,"2018-06-17 18:00:00"
101,93,"2018-06-19 16:00:00"
